sample_id,outcome,smell,entity_type,repository,path,start_line,end_line,code_name,detail
3725378,no_entity,long method,function,git@github.com:alibaba/jvm-sandbox.git,/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/matcher/structure/ClassStructureImplByAsm.java,397,415,com.alibaba.jvm.sandbox.core.util.matcher.structure.ClassStructureImplByAsm#initialValue,line 397
3917525,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,116244,116247,org.apache.accumulo.proxy.thrift.AccumuloProxy.renameNamespace_args.findByName java.lang.String,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3917547,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,116384,116387,org.apache.accumulo.proxy.thrift.AccumuloProxy.renameNamespace_args#setNewNamespaceName java.lang.String,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3927368,no_file,feature envy,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,28634,28646,org.apache.accumulo.proxy.thrift.AccumuloProxy.cancelCompaction_args.cancelCompaction_argsTupleScheme#read org.apache.thrift.protocol.TProtocol|cancelCompaction_args,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3931780,no_file,blob,class,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,30526,31009,org.apache.accumulo.proxy.thrift.AccumuloProxy.deleteTable_args,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3900213,no_file,blob,class,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,7755,7786,org.apache.accumulo.proxy.thrift.AccumuloProxy.Processor.exportTable,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3844294,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,126929,126932,org.apache.accumulo.proxy.thrift.AccumuloProxy.listNamespaceIterators_result#setOuch1 AccumuloException,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3836401,no_file,blob,class,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,9054,9083,org.apache.accumulo.proxy.thrift.AccumuloProxy.Processor.grantSystemPermission,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3831179,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,29279,29293,org.apache.accumulo.proxy.thrift.AccumuloProxy.createTable_args.findByThriftId int,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3885890,no_file,data class,class,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,3852,3878,org.apache.accumulo.proxy.thrift.AccumuloProxy.AsyncClient.cancelCompaction_call,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3819885,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,107318,107329,org.apache.accumulo.proxy.thrift.AccumuloProxy.updateRowsConditionally_args#getFieldValue _Fields,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3834247,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,126206,126230,org.apache.accumulo.proxy.thrift.AccumuloProxy.getNamespaceIteratorSetting_result.getNamespaceIteratorSetting_resultTupleScheme#read org.apache.thrift.protocol.TProtocol|getNamespaceIteratorSetting_result,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3919373,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,51667,51671,org.apache.accumulo.proxy.thrift.AccumuloProxy.offlineTable_result#setOuch2IsSet boolean,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3926659,no_file,feature envy,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,68499,68504,org.apache.accumulo.proxy.thrift.AccumuloProxy.getSiteConfiguration_args.getSiteConfiguration_args java.nio.ByteBuffer,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3839255,no_file,long method,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,81803,81814,org.apache.accumulo.proxy.thrift.AccumuloProxy.grantSystemPermission_result#getFieldValue _Fields,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
3930845,no_file,feature envy,function,git@github.com:apache/accumulo.git,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,37772,37778,org.apache.accumulo.proxy.thrift.AccumuloProxy.getLocalityGroups_result#writeObject java.io.ObjectOutputStream,proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java
8738655,no_file,blob,class,git@github.com:apache/airavata.git,/modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java,153508,153512,org.apache.airavata.registry.api.RegistryService.updateWorkflow_args.updateWorkflow_argsStandardSchemeFactory,modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java
8792283,no_file,blob,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,33809,33879,org.apache.airavata.api.Airavata.AsyncProcessor.getChildDataProducts,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
